2011-05-19 05:47:49Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:49Z,  Mix Fan ON, ,1
2011-05-19 05:47:49Z,  Heat OFF, ,0
2011-05-19 05:47:49Z,  Heat OFF, ,0
2011-05-19 05:47:49Z,  Humidifier ON, ,1
2011-05-19 05:47:49Z,  Barn Heat ON, ,1
2011-05-19 05:47:49Z,  Barn Cool ON, ,1
2011-05-19 05:47:49Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:49Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:49Z,  Mix Fan OFF, ,0
2011-05-19 05:47:49Z,  Humidifier OFF, ,0
2011-05-19 05:47:49Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:49Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:49Z,  Mix Fan ON, ,1
2011-05-19 05:47:49Z,  Heat OFF, ,0
2011-05-19 05:47:49Z,  Heat OFF, ,0
2011-05-19 05:47:49Z,  Humidifier ON, ,1
2011-05-19 05:47:49Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:49Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:49Z,  Mix Fan OFF, ,0
2011-05-19 05:47:49Z,  Humidifier OFF, ,0
2011-05-19 05:47:49Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Barn Cool OFF, ,0
2011-05-19 05:47:59Z,  Barn Heat OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Barn Heat ON, ,1
2011-05-19 05:47:59Z,  Barn Cool ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Barn Cool OFF, ,0
2011-05-19 05:47:59Z,  Barn Heat OFF, ,0
2011-05-19 05:47:59Z,  Cooling Compressor ON, ,1
2011-05-19 05:47:59Z,  Mix Fan ON, ,1
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Heat OFF, ,0
2011-05-19 05:47:59Z,  Humidifier ON, ,1
2011-05-19 05:47:59Z,  Barn Heat ON, ,1
2011-05-19 05:47:59Z,  Barn Cool ON, ,1
2011-05-19 05:47:59Z,  Fresh Air Fan ON, ,1
2011-05-19 05:47:59Z,  Cooling Compressor OFF, ,0
2011-05-19 05:47:59Z,  Mix Fan OFF, ,0
2011-05-19 05:47:59Z,  Humidifier OFF, ,0
2011-05-19 05:47:59Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:47:59Z,  Barn Cool OFF, ,0
2011-05-19 05:47:59Z,  Barn Heat OFF, ,0
2011-05-19 05:48:05Z,  Cooling Compressor ON, ,1
2011-05-19 05:48:05Z,  Mix Fan ON, ,1
2011-05-19 05:48:05Z,  Heat OFF, ,0
2011-05-19 05:48:05Z,  Heat OFF, ,0
2011-05-19 05:48:05Z,  Humidifier ON, ,1
2011-05-19 05:48:05Z,  Barn Heat ON, ,1
2011-05-19 05:48:05Z,  Barn Cool ON, ,1
2011-05-19 05:48:05Z,  Fresh Air Fan ON, ,1
2011-05-19 05:48:05Z,  Cooling Compressor OFF, ,0
2011-05-19 05:48:05Z,  Mix Fan OFF, ,0
2011-05-19 05:48:05Z,  Humidifier OFF, ,0
2011-05-19 05:48:05Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:48:05Z,  Barn Cool OFF, ,0
2011-05-19 05:48:05Z,  Barn Heat OFF, ,0
2011-05-19 05:48:06Z,  Cooling Compressor ON, ,1
2011-05-19 05:48:06Z,  Mix Fan ON, ,1
2011-05-19 05:48:06Z,  Heat OFF, ,0
2011-05-19 05:48:06Z,  Heat OFF, ,0
2011-05-19 05:48:06Z,  Humidifier ON, ,1
2011-05-19 05:48:06Z,  Barn Heat ON, ,1
2011-05-19 05:48:06Z,  Barn Cool ON, ,1
2011-05-19 05:48:06Z,  Fresh Air Fan ON, ,1
2011-05-19 05:48:06Z,  Cooling Compressor OFF, ,0
2011-05-19 05:48:06Z,  Mix Fan OFF, ,0
2011-05-19 05:48:06Z,  Humidifier OFF, ,0
2011-05-19 05:48:06Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:48:06Z,  Barn Cool OFF, ,0
2011-05-19 05:48:06Z,  Barn Heat OFF, ,0
2011-05-19 05:48:09Z,  Cooling Compressor ON, ,1
2011-05-19 05:48:09Z,  Mix Fan ON, ,1
2011-05-19 05:48:09Z,  Heat OFF, ,0
2011-05-19 05:48:09Z,  Heat OFF, ,0
2011-05-19 05:48:09Z,  Humidifier ON, ,1
2011-05-19 05:48:09Z,  Barn Heat ON, ,1
2011-05-19 05:48:09Z,  Barn Cool ON, ,1
2011-05-19 05:48:09Z,  Fresh Air Fan ON, ,1
2011-05-19 05:48:09Z,  Cooling Compressor OFF, ,0
2011-05-19 05:48:09Z,  Mix Fan OFF, ,0
2011-05-19 05:48:09Z,  Humidifier OFF, ,0
2011-05-19 05:48:09Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:48:09Z,  Barn Cool OFF, ,0
2011-05-19 05:48:09Z,  Barn Heat OFF, ,0
2011-05-19 05:48:19Z,  Cooling Compressor ON, ,1
2011-05-19 05:48:19Z,  Mix Fan ON, ,1
2011-05-19 05:48:19Z,  Heat OFF, ,0
2011-05-19 05:48:19Z,  Heat OFF, ,0
2011-05-19 05:48:19Z,  Humidifier ON, ,1
2011-05-19 05:48:19Z,  Barn Heat ON, ,1
2011-05-19 05:48:19Z,  Barn Cool ON, ,1
2011-05-19 05:48:19Z,  Fresh Air Fan ON, ,1
2011-05-19 05:48:19Z,  Cooling Compressor OFF, ,0
2011-05-19 05:48:19Z,  Mix Fan OFF, ,0
2011-05-19 05:48:19Z,  Humidifier OFF, ,0
2011-05-19 05:48:19Z,  Fresh Air Fan OFF, ,0
2011-05-19 05:48:19Z,  Barn Cool OFF, ,0
2011-05-19 05:48:19Z,  Barn Heat OFF, ,0
2011-05-19 05:48:29Z,  Cooling Compressor ON, ,1
